size,time F_tail,time F_loop,note: each time is the average of 100 runs
113,0.0059188,0.0057066,
114,0.0062731,0.0059969,
115,0.0062072,0.0057934,
116,0.0061474,0.0060285,
117,0.0061526,0.0059805,
118,0.0061841,0.005943,
119,0.0061291,0.0058287,
120,0.0066929,0.0064092,
121,0.0064399,0.0060901,
122,0.0065164,0.0061954,
123,0.0066207,0.0062439,
124,0.0064321,0.0062265,
125,0.0065769,0.006255,
126,0.0067713,0.00657,
127,0.0068034,0.0064348,
128,0.0072128,0.0068598,
129,0.006941,0.0067158,
130,0.0067707,0.0064978,
131,0.0068817,0.0066441,
132,0.0070994,0.0068123,
133,0.0070221,0.0066583,
134,0.0072405,0.0067612,
135,0.0070872,0.006702,
136,0.0073334,0.0070015,
137,0.0070723,0.0069015,
138,0.0074582,0.0073014,
139,0.007487,0.0070809,
140,0.0076585,0.0074335,
141,0.0076292,0.0073172,
142,0.0074333,0.0071399,
143,0.0075371,0.0072036,
144,0.0080362,0.0077267,
145,0.0079753,0.0075965,
146,0.0077509,0.0074438,
147,0.0081773,0.0078869,
148,0.0080953,0.0077753,
149,0.0080197,0.0076214,
150,0.0082913,0.008005,
151,0.009637,0.0079667,
152,0.008457,0.0079772,
153,0.0083898,0.0080968,
154,0.0084176,0.0082239,
155,0.0084397,0.0085034,
156,0.0086783,0.0083835,
157,0.0085344,0.0081693,
158,0.0090874,0.0089061,
159,0.0085046,0.0081149,
160,0.0084465,0.0083813,
161,0.0085275,0.0081391,
162,0.0090821,0.008616,
163,0.0092616,0.0088227,
164,0.0091228,0.0086741,
165,0.0088234,0.0085018,
166,0.0089501,0.008635,
167,0.0091306,0.0088963,
168,0.0092008,0.008856,
169,0.0093662,0.0089156,
170,0.0093719,0.0090303,
171,0.0092294,0.0088037,
172,0.0093237,0.0089763,
173,0.0091533,0.0089047,
174,0.009488,0.0094714,
175,0.0095838,0.0090668,
176,0.009509,0.0094414,
177,0.0095919,0.0091466,
178,0.0095166,0.0091566,
179,0.0097372,0.0092256,
180,0.0101815,0.0098361,
181,0.0099811,0.0096911,
182,0.010968,0.0096307,
183,0.0098588,0.0093944,
184,0.010133,0.0096979,
185,0.0107098,0.0093254,
186,0.0104928,0.0110251,
187,0.0102916,0.0098228,
188,0.0103283,0.0100982,
189,0.0103349,0.0099386,
190,0.0145437,0.0122831,
191,0.0101551,0.0095533,
192,0.0104781,0.0100683,
193,0.0105369,0.0099359,
194,0.0108074,0.0101379,
195,0.0116027,0.0102901,
196,0.0107667,0.0102531,
197,0.0121148,0.0112174,
198,0.0130269,0.011776,
199,0.0113935,0.0102316,
